internal_key,name,seller_name,offer_id,variant_key,option_name,seller_url,source_url,availability,price,shipping_fee,shipping_fee_confidence,installation_service,installation_fee,mattress_included,mattress_price,delivery_days_min,delivery_days_max,scheduled_delivery,width_cm,length_cm,height_cm,bed_size,material,storage_type,under_bed_clearance_cm,has_outlet,has_headboard,colors,storage_capacity,dust_blocking,cleaning_ease,robot_vacuum_fit,carry_difficulty,carry_service_available,self_assembly,assembly_service_available,assembly_people,assembly_tools,disassembly_ease,review_risks,recommended_for,not_recommended_for,data_confidence,source_note,commercial_verified_at,spec_verified_at,status,verified_by,evidence_confidence,evidence_notes,image_url,return_policy_summary,damage_process_summary,warranty_summary,review_sample_count,review_risk_counts,review_verified_at,review_rechecked_count,commercial_source_url,delivery_source_url,spec_source_url,policy_source_url,review_source_url,commercial_confidence,delivery_confidence,spec_confidence,policy_confidence,review_confidence
sofsys-6117-ss-white,심플 침대 프레임 SS/Q,소프시스,6117,ss-white,(화)심플침대프레임 SS,https://sofsys.co.kr/product/detail.html?product_no=6117,https://sofsys.co.kr/product/detail.html?product_no=6117,unknown,110900,0,confirmed,paid,,false,,,,,,,,SS,,,,,,화이트,,,,,,,,,,,,,,,confirmed,"공식몰의 SS 옵션 판매가 110,900원·무료배송·별도 설치옵션을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,"완성 외경·수납 구조는 상세 이미지에만 있어 미확인. 설치는 유료 옵션(1개당), Q는 별도 가격.",,상품 수령 후 교환·반품은 공정거래위원회 고시(소비자분쟁해결기준)에 따르며 반품비용은 상품별로 다릅니다.,파손·불량 시 소프시스 고객센터(1644-2733)로 접수 후 처리합니다.,소비자분쟁해결기준에 따른 품질보증이 적용됩니다.,,,,,https://sofsys.co.kr/product/detail.html?product_no=6117,,https://sofsys.co.kr/product/detail.html?product_no=6117,https://sofsys.co.kr/product/detail.html?product_no=6117,,confirmed,,unknown,confirmed,
sofsys-6910-ss-oak-platform,E0등급 포근 저상형 우드 침대 프레임 SS/Q 평상형,소프시스,6910,ss-oak-platform,(오크)포근저상형우드침대 SS,https://sofsys.co.kr/product/detail.html?product_no=6910,https://sofsys.co.kr/product/detail.html?product_no=6910,unknown,142900,20000,confirmed,unknown,,false,,,,,,,,SS,E0등급 목재,closed_base,,,,오크,,,,,,,,,,,,,,,confirmed,"공식몰의 SS 옵션 판매가 142,900원·1개 주문 시 배송비 20,000원·저상 평상형 우드 프레임을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,상품명의 평상형에 근거해 closed_base로 분류. 완성 외경은 상세 이미지에만 있어 미확인.,,상품 수령 후 교환·반품은 공정거래위원회 고시(소비자분쟁해결기준)에 따르며 반품비용은 상품별로 다릅니다.,파손·불량 시 소프시스 고객센터(1644-2733)로 접수 후 처리합니다.,소비자분쟁해결기준에 따른 품질보증이 적용됩니다.,,,,,https://sofsys.co.kr/product/detail.html?product_no=6910,,https://sofsys.co.kr/product/detail.html?product_no=6910,https://sofsys.co.kr/product/detail.html?product_no=6910,,confirmed,,estimated,confirmed,
sofsys-6827-ss-organic-set,포근 슬립 오가닉 침대 세트 SS/Q (프레임+매트리스),소프시스,6827,ss-organic-set,오가닉매트리스SS + 침대프레임SS,https://sofsys.co.kr/product/detail.html?product_no=6827,https://sofsys.co.kr/product/detail.html?product_no=6827,unknown,346900,30000,confirmed,unknown,,true,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,confirmed,"공식몰의 SS 세트 판매가 346,900원·착불 배송비 30,000원·프레임+오가닉 매트리스 구성을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,프레임(심플/우드)과 매트리스를 함께 선택하는 세트로 mattress_included=true. 프레임 종류별 수납 구조·외경은 미확인.,,상품 수령 후 교환·반품은 공정거래위원회 고시(소비자분쟁해결기준)에 따르며 반품비용은 상품별로 다릅니다.,파손·불량 시 소프시스 고객센터(1644-2733)로 접수 후 처리합니다.,소비자분쟁해결기준에 따른 품질보증이 적용됩니다.,,,,,https://sofsys.co.kr/product/detail.html?product_no=6827,,https://sofsys.co.kr/product/detail.html?product_no=6827,https://sofsys.co.kr/product/detail.html?product_no=6827,,confirmed,,unknown,confirmed,
sofsys-6829-ss-basic-set,포근 슬립 베이직 침대 세트 SS/Q (프레임+매트리스),소프시스,6829,ss-basic-set,슬립베이직매트리스SS + 침대프레임SS,https://sofsys.co.kr/product/detail.html?product_no=6829,https://sofsys.co.kr/product/detail.html?product_no=6829,unknown,282900,30000,confirmed,unknown,,true,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,confirmed,"공식몰의 SS 세트 판매가 282,900원·착불 배송비 30,000원·프레임+베이직 매트리스 구성을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,프레임(심플/우드)과 매트리스를 함께 선택하는 세트로 mattress_included=true. 프레임 종류별 수납 구조·외경은 미확인.,,상품 수령 후 교환·반품은 공정거래위원회 고시(소비자분쟁해결기준)에 따르며 반품비용은 상품별로 다릅니다.,파손·불량 시 소프시스 고객센터(1644-2733)로 접수 후 처리합니다.,소비자분쟁해결기준에 따른 품질보증이 적용됩니다.,,,,,https://sofsys.co.kr/product/detail.html?product_no=6829,,https://sofsys.co.kr/product/detail.html?product_no=6829,https://sofsys.co.kr/product/detail.html?product_no=6829,,confirmed,,unknown,confirmed,
englander-2640-ss-mdf-platform,잉글랜더 마네 평상형 침대 SS (매트제외),잉글랜더,2640,ss-mdf-platform,매트제외-SS,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,unknown,219000,,unknown,unknown,,false,,7,15,,,,,SS,MDF,closed_base,,,,,,,,,,,,,,,,,,,confirmed,"공식몰의 매트제외 SS 옵션가 219,000원·평상형·수도권 무료/지방 착불 배송을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,"상품정보고시의 평상형·KC(MDF)에 근거. 배송비는 지역별 조건부라 미확정, 완성 외경은 미확인. Q/K는 별도 가격.",,교환·환불은 공정거래위원회/재정경제부 고시 소비자 피해보상규정에 따릅니다.,제품 불량·파손 시 잉글랜더 고객만족팀(1661-0427)에서 접수 후 처리합니다.,제품 불량의 경우 최초 구입일로부터 1년 이내 무상 A/S가 가능합니다.,,,,,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,https://englander.co.kr/goods/goods_view.php?goodsNo=2640,,estimated,confirmed,estimated,confirmed,
englander-3494-ss-merbau-platform,잉글랜더 피칸 멀바우 평상형 침대 SS 프레임,잉글랜더,3494,ss-merbau-platform,SS 프레임,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,unknown,299000,,unknown,unknown,,false,,7,15,,,,,SS,멀바우 원목,closed_base,,,,,,,,,,,,,,,,,,,confirmed,"공식몰의 SS 프레임 옵션가 299,000원·평상형·지방 착불 배송을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,옵션이 'SS 프레임'으로 명시된 프레임 단품. 평상형에 근거해 closed_base. 배송비 조건부·외경 미확인.,,교환·환불은 공정거래위원회/재정경제부 고시 소비자 피해보상규정에 따릅니다.,제품 불량·파손 시 잉글랜더 고객만족팀(1661-0427)에서 접수 후 처리합니다.,제품 불량의 경우 최초 구입일로부터 1년 이내 무상 A/S가 가능합니다.,,,,,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,,estimated,confirmed,estimated,confirmed,
englander-5289-ss-storage-oak,잉글랜더 헤븐 LED 원목 수납 침대 SS (매트제외),잉글랜더,5289,ss-storage-oak,매트제외-SS,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,unknown,529000,,unknown,unknown,,false,,7,15,,,,,SS,원목,,,,true,내츄럴|월넛,,,,,,,,,,,,,,,confirmed,"공식몰의 매트제외 SS 옵션가 529,000원·LED 헤드·원목 수납 침대를 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,수납침대가 확실하나 서랍/리프트업 여부가 상세 이미지에만 있어 storage_type 미확정(검수 필요). 배송비 조건부.,,교환·환불은 공정거래위원회/재정경제부 고시 소비자 피해보상규정에 따릅니다.,제품 불량·파손 시 잉글랜더 고객만족팀(1661-0427)에서 접수 후 처리합니다.,제품 불량의 경우 최초 구입일로부터 1년 이내 무상 A/S가 가능합니다.,,,,,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,https://englander.co.kr/goods/goods_view.php?goodsNo=5289,,estimated,confirmed,unknown,confirmed,
englander-5357-ss-storage-walnut,잉글랜더 캐슬 원목 호텔형 수납 침대 SS (매트제외),잉글랜더,5357,ss-storage-walnut,매트제외-SS,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,unknown,599000,,unknown,unknown,,false,,7,15,,,,,SS,원목,,,,true,월넛,,,,,,,,,,,,,,,confirmed,"공식몰의 매트제외 SS 옵션가 599,000원·호텔형 원목 수납 침대·전 지역 착불을 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,"수납침대이나 서랍/리프트업 방식 미확인(검수 필요). 배송비 전 지역 착불이라 미확정, 외경 미확인.",,교환·환불은 공정거래위원회/재정경제부 고시 소비자 피해보상규정에 따릅니다.,제품 불량·파손 시 잉글랜더 고객만족팀(1661-0427)에서 접수 후 처리합니다.,제품 불량의 경우 최초 구입일로부터 1년 이내 무상 A/S가 가능합니다.,,,,,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,https://englander.co.kr/goods/goods_view.php?goodsNo=5357,,estimated,confirmed,unknown,confirmed,
englander-5470-ss-storage-tambour,잉글랜더 앙티브 템바보드 원목 수납 침대 SS (매트제외),잉글랜더,5470,ss-storage-tambour,매트제외-SS,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,unknown,529000,,unknown,unknown,,false,,7,15,,,,,SS,원목,,,,true,월넛,,,,,,,,,,,,,,,confirmed,"공식몰의 매트제외 SS 옵션가 529,000원·템바보드 헤드·원목 수납 침대를 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,수납침대이나 서랍/리프트업 방식 미확인(검수 필요). 배송비 조건부·완성 외경 미확인.,,교환·환불은 공정거래위원회/재정경제부 고시 소비자 피해보상규정에 따릅니다.,제품 불량·파손 시 잉글랜더 고객만족팀(1661-0427)에서 접수 후 처리합니다.,제품 불량의 경우 최초 구입일로부터 1년 이내 무상 A/S가 가능합니다.,,,,,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,https://englander.co.kr/goods/goods_view.php?goodsNo=5470,,estimated,confirmed,unknown,confirmed,
marketb-6675-ss-daybed-pine,마켓비 SOLIDPINE 데이베드 원목침대 슈퍼싱글 110200 소나무,마켓비,6675,ss-daybed-pine,프레임만 구매 (슈퍼싱글 110x200),https://marketb.kr/product/detail.html?product_no=6675,https://marketb.kr/product/detail.html?product_no=6675,unknown,225000,14000,confirmed,paid,39000,false,,,,,,,,SS,소나무 원목,legs_open,,,,소나무,,,,,,,,,,,,,,,confirmed,"공식몰의 판매가 225,000원·배송비 14,000원·프레임만 구매 옵션·소나무 원목 데이베드(당일발송)를 확인했습니다.",2026-07-20,2026-07-20,hidden,additions-agent-2026-07-20,confirmed,"원산지 중국. 데이베드 개방형 구조로 legs_open 추정(외경·하부높이 미확인). 조립비 39,000원은 서울/인근경기/충청 일부 한정.",,"상품 수령 후 7일 이내 교환·반품이 가능하나, 포장을 개봉·훼손해 상품가치가 상실된 가구는 불가합니다.",파손·불량 시 마켓비 고객센터(031-943-8307)로 접수 후 처리합니다.,소비자분쟁해결기준에 따른 품질보증기준이 적용됩니다.,,,,,https://marketb.kr/product/detail.html?product_no=6675,https://marketb.kr/product/detail.html?product_no=6675,https://marketb.kr/product/detail.html?product_no=6675,https://marketb.kr/product/detail.html?product_no=6675,,confirmed,estimated,estimated,confirmed,
