internal_key,seller,option_url_ok,price_confirmed,stock_confirmed,dims_confirmed,storage_type_confirmed,delivery_confirmed,conditional_costs_unknown_ok,policy_summaries_present,review_sample_n,repeated_risks,image_rights,blocking_issues,reviewer,reviewed_at
iloom-HSRE01SS-3W1OS,일룸,yes(브라우저 확인),yes(899000),no(out_of_stock),yes(119.6 x 206.9 x 95.2),yes(없음),yes(10일 / 설치비 포함),yes,yes,0,none,unverified(비움),"공식 페이지 실행 상태가 showYn=N으로 구매 불가이며, JSON-LD에는 리뷰 2건으로 표시되지만 공식 리뷰 목록 API는 0건을 반환해 본문 표본도 확보하지 못했습니다. 공개에서 제외합니다.",codex-official-source-audit-2026-07-21,2026-07-21
iloom-HBA411121-CZ,일룸,yes(브라우저 확인),yes(1009000),yes(in_stock),yes(110.5 x 219.15 x 98.6),yes(서랍),yes(10일 / 설치비 포함),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
iloom-HSSE270-IVGYM,일룸,yes(브라우저 확인),yes(452000),yes(in_stock),yes(114.9 x 204.1 x 91.5),yes(하부오픈),yes(10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
iloom-IBM0021A-SO,일룸,yes(브라우저 확인),yes(2490000),yes(in_stock),yes(128 x 222.5 x 88.7),yes(하부오픈),yes(10일 / 설치비 포함),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
iloom-HBA501101-SP,일룸,yes(브라우저 확인),yes(649000),yes(in_stock),yes(114.1 x 217 x 110.05),yes(없음),yes(10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
livart-P100017510-oak,리바트몰,yes(브라우저 확인),yes(573000),yes(in_stock),yes(114.1 x 204.9 x 120),yes(없음),yes(4~5일 / 설치비 포함),yes,yes,2,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
livart-P100026884-natural,리바트몰,yes(브라우저 확인),yes(490000),yes(in_stock),yes(115 x 205.5 x 확인불가),yes(서랍),yes(4~5일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
livart-P200199572-ss-white,리바트몰,yes(브라우저 확인),yes(795000),yes(in_stock),yes(114 x 215.4 x 105),yes(막힘),yes(4~5일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
livart-P200183576-ss-sand,리바트몰,yes(브라우저 확인),yes(617000),yes(in_stock),yes(113.4 x 213 x 확인불가),yes(없음),yes(4~5일 / 설치비 포함),yes,yes,9,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
hanssem-411763-ss-drawer-color-unverified,한샘몰,yes(브라우저 확인),yes(349900),yes(in_stock),yes(116 x 206.2 x 91.2),yes(서랍),yes(1~10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
