상품키_수정금지,판매처,상품명_참고,상품페이지_참고,옵션페이지열림_예아니오,현재가격원_숫자,재고_판매중품절확인불가,완성외경_가로x길이x높이cm,수납방식_없음서랍리프트하부오픈막힘확인불가,배송설치_확인내용,조건부비용_unknown처리_예아니오,반품파손보증_3종확인_예아니오,리뷰출처URL,리뷰표본수_0에서10,리뷰재검수수,반복위험_없음또는내용,이미지사용권_확인미확인,공개차단이슈_없으면공란,검수자,재검수자,검수일_YYYY-MM-DD,공개가능_예아니오
iloom-HSRE01SS-3W1OS,일룸,스쿱 가드형 침대(SS),https://www.iloom.com/product/detail.do?productCd=HSRE01SS,예,899000,판매중,119.6 x 206.9 x 95.2,없음,영업일 7~10일·무료설치,예,예,,0,0,없음,미확인,리뷰 표본 미수집(평점 5.0/2건만 확인)·이미지 권리 미확인 → 공개 전 필요,gpt-5.6-terra-dynamic,,2026-07-21,아니오
iloom-HBA411121-CZ,일룸,"세르크 수납침대 (SS,매트리스 포함)",https://www.iloom.com/product/detail.do?productCd=HBA411121,예,1009000,판매중,확인불가,서랍,무료설치·7~10일,예,예,,0,0,없음,미확인,치수는 라벨 없는 1105*986*2191.5를 물리적 범위로 매핑→사람 확인·리뷰 표본·이미지 권리,gpt-5.6-terra-dynamic,,2026-07-21,아니오
iloom-HSSE270-IVGYM,일룸,"링키플러스/로이 다리형 침대 프레임(SS,기본헤드)",https://www.iloom.com/product/detail.do?productCd=HSSE270,예,452000,판매중,확인불가,하부오픈,무료설치·7~10일,예,예,,0,0,없음,미확인,완성 외경 미확보(width/length 필요)·리뷰 표본(평점 4.9/68)·이미지 권리 → 공개 전 치수 확인 필수,gpt-5.6-terra-dynamic,,2026-07-21,아니오
iloom-IBM0021A-SO,일룸,"모어 모션베드 다리형 SS (일체형,메모리폼)",https://www.iloom.com/product/detail.do?productCd=IBM0021A,예,2490000,판매중,128 x 222.5 x 88.7,하부오픈,무료설치·7~10일,예,예,,0,0,없음,미확인,리뷰 표본 미수집·이미지 권리 → 그 외 가격/치수/재고/배송/정책 확인 완료,gpt-5.6-terra-dynamic,,2026-07-21,아니오
iloom-HBA501101-SP,일룸,바젤 심플리화이트 침대 프레임 SS,https://www.iloom.com/product/detail.do?productCd=HBA501101,예,649000,판매중,114.1 x 217.0 x 110.05,없음,무료설치·7~10일,예,예,,0,0,없음,미확인,리뷰 표본(평점 4.8/24)·이미지 권리 → 그 외 확인 완료. 선반/일반 패널은 별도 옵션,gpt-5.6-terra-dynamic,,2026-07-21,아니오
livart-P100017510-oak,리바트몰,집속의 작은집 슈퍼싱글침대 프레임,https://www.hyundailivart.co.kr/p/P100017510,예,573000,판매중,114.1 x 204.9 x 120.0,없음,일반정책 4~5일·무료 제주제외,예,예,https://www.hyundailivart.co.kr/p/P100017510,2,2,없음,미확인,,gpt-5.6-terra-core,codex-browser-recheck,2026-07-21,예
livart-P100026884-natural,리바트몰,"꼼므 주니어 수납 슈퍼싱글침대(매트, 가드 별도)",https://www.hyundailivart.co.kr/p/P100026884,예,490000,확인불가,확인불가,서랍,4~5일·무료 제주제외,예,예,,0,0,없음,미확인,완성 외경 미확보·매트/가드 별도·availability·리뷰 표본·이미지 권리,gpt-5.6-terra-core,,2026-07-21,아니오
livart-P200199572-ss-white,리바트몰,레브 침대 프레임 화이트 SS(터치조명 포함),https://www.hyundailivart.co.kr/p/P200199572,예,795000,확인불가,114.0 x 215.4 x 105.0,없음,4~5일·무료 제주제외,예,예,,0,0,없음,미확인,헤드 '중간 수납/서랍' 언급→수납 구조 확인 필요·availability·리뷰 표본·이미지 권리,gpt-5.6-terra-core,,2026-07-21,아니오
livart-P200183576-ss-sand,리바트몰,리버서블 슈퍼싱글 침대 프레임 슬림형,https://www.hyundailivart.co.kr/p/P200183576,예,617000,판매중,113.4 x 213.0 x 확인불가,없음,4~5일·무료 제주제외,예,예,https://www.hyundailivart.co.kr/p/P200183576,9,2,smell:1 | delivery_delay:1,미확인,,gpt-5.6-terra-core,codex-browser-recheck,2026-07-21,예
hanssem-411763-ss-drawer-color-unverified,한샘몰,샘베딩 플레인 침대 SS 슈퍼싱글 서랍형(매트별도),https://store.hanssem.com/goods/411763,예,345900,판매중,확인불가,서랍,배송비·기간 미확보,예,아니오,,0,0,없음,미확인,JS 셸로 치수·색상·배송비·정책 요약 미확보; 리뷰 표본(평점 4.8/188); 브라우저 재검수 필수,gpt-5.6-terra-dynamic,,2026-07-21,아니오
